condition,query_id,question_type,query,failure_types,status,required_fact_recall,citation_coverage,citation_valid,answer,citations,context_unit_ids,packet_truncated_ids,observation
dense_packet,mxq-001,answerable,MX-100的温度上限是多少？,schema_error|model_omission|citation_error,,0.0,0.0,False,,,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_b85a502fbfddf27ee43b|unit_4f021d52061a98f6ac53|unit_d2026ce4866fbfe12c00,,Context覆盖事实，但最终答案遗漏Required Fact。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-001,answerable,MX-100的温度上限是多少？,model_omission,answered,0.3333333333333333,1.0,True,75℃,unit_427bb9da85d5c2c78e94,unit_427bb9da85d5c2c78e94,,Context覆盖事实，但最终答案遗漏Required Fact。
dense_extract,mxq-001,answerable,MX-100的温度上限是多少？,model_omission,answered,0.3333333333333333,1.0,True,75℃,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_4f021d52061a98f6ac53,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_b85a502fbfddf27ee43b|unit_4f021d52061a98f6ac53|unit_d2026ce4866fbfe12c00,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-003,answerable,E02故障应该如何处理？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及E02故障的处理方法。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-003,answerable,E02故障应该如何处理？,model_omission,answered,0.3333333333333333,1.0,True,检查连接,unit_931b71f8106f5858e816,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。
baseline_dense,mxq-004,answerable,E03故障应该如何处理？,false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,True,资料中未提及E03故障的处理方法。,,unit_94850904cf039fcc1678|unit_5ea191c13e5954131884|unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
dense_packet,mxq-004,answerable,E03故障应该如何处理？,false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,True,资料中未明确提及E03故障的处理方法。,,unit_94850904cf039fcc1678|unit_5ea191c13e5954131884|unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_extract,mxq-004,answerable,E03故障应该如何处理？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及E03故障的处理方法。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-004,answerable,E03故障应该如何处理？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及E03故障的处理方法。,,unit_94850904cf039fcc1678|unit_5ea191c13e5954131884|unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_packet,mxq-005,answerable,MX-100当前文档版本是什么？,citation_error,answered,1.0,0.0,False,MX-100当前文档版本是v1.2,unit_03db816ac89ed1434056,unit_03db816ac89ed1434516,,引用无效或未覆盖所需事实。
oracle_extract,mxq-005,answerable,MX-100当前文档版本是什么？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定MX-100当前文档版本，证据中未提及相关版本信息。,,unit_03db816ac89ed1434516,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_packet,mxq-006,answerable,设备资料记录的日期是什么？,citation_error,answered,1.0,0.0,False,设备资料记录的日期是2026-07-11,unit_03db816ac89ed14348516,unit_03db816ac89ed1434516,,引用无效或未覆盖所需事实。
oracle_extract,mxq-006,answerable,设备资料记录的日期是什么？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定设备资料记录的日期，证据中未提供有效日期信息。,,unit_03db816ac89ed1434516,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-006,answerable,设备资料记录的日期是什么？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定设备资料记录的日期，证据中未提供相关信息。,,unit_766c48cf1448479c2315|unit_4912a65c603f231bd224|unit_2bd1304003c7f0dfea98|unit_0163e2051a2ebd5d095e|unit_5a011d6f4cc5f7bf21e8,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
baseline_dense,mxq-007,answerable,维护步骤所在章节的名称是什么？,false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,True,资料中未明确提及维护步骤所在章节的名称。,,unit_0163e2051a2ebd5d095e|unit_2bd1304003c7f0dfea98|unit_766c48cf1448479c2315|unit_12f442be965b3ab2a53c|unit_b85a502fbfddf27ee43b,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_packet,mxq-007,answerable,维护步骤所在章节的名称是什么？,citation_error,answered,1.0,0.0,False,维护流程,unit_0163e2051a2ebdd5d095e,unit_0163e2051a2ebd5d095e,,引用无效或未覆盖所需事实。
oracle_extract,mxq-007,answerable,维护步骤所在章节的名称是什么？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定维护步骤所在章节的名称，证据中未提供具体章节信息。,,unit_0163e2051a2ebd5d095e,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-007,answerable,维护步骤所在章节的名称是什么？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定维护步骤所在章节的名称，证据中未提供具体章节信息。,,unit_0163e2051a2ebd5d095e|unit_2bd1304003c7f0dfea98|unit_766c48cf1448479c2315|unit_12f442be965b3ab2a53c|unit_b85a502fbfddf27ee43b,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
baseline_dense,mxq-008,answerable,安全参数章节叫什么？,false_refusal|citation_error,insufficient_evidence,1.0,0.0,True,资料中未提及安全参数章节的名称。,,unit_4102e7b75c61bddf397f|unit_0163e2051a2ebd5d095e|unit_088a259df618945202b2|unit_12dd3556798a53065a50|unit_4f021d52061a98f6ac53,,Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
dense_extract,mxq-008,answerable,安全参数章节叫什么？,schema_error|false_refusal|citation_error,insufficient_evidence,1.0,0.0,False,证据中未提及安全参数章节的名称。,,unit_4102e7b75c61bddf397f|unit_0163e2051a2ebd5d095e|unit_088a259df618945202b2|unit_12dd3556798a53065a50|unit_4f021d52061a98f6ac53,,Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-010,answerable,设备发出高温告警后应该排查哪个部位？,model_omission,answered,0.0,1.0,True,散热部位,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。
dense_extract,mxq-010,answerable,设备发出高温告警后应该排查哪个部位？,model_omission,answered,0.0,1.0,True,散热,unit_0cadd16eefbcfde43d0b|unit_4e6240ee45aff210b43d,unit_94850904cf039fcc1678|unit_0cadd16eefbcfde43d0b|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_d2ea24bd55aa60e58786,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_packet,mxq-012,answerable,把滤网处理干净以后下一步做什么？,model_omission,answered,0.5,1.0,True,重启并记录结果。,unit_0861be8afba46dca2c51,unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-012,answerable,把滤网处理干净以后下一步做什么？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,证据中未提及滤网处理干净后的下一步操作。,,unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-012,answerable,把滤网处理干净以后下一步做什么？,model_omission,answered,0.5,1.0,True,重启并记录结果,unit_0861be8afba46dca2c51,unit_967fd3b16072f006b613|unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a|unit_0163e2051a2ebd5d095e|unit_5a011d6f4cc5f7bf21e8,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_packet,mxq-013,answerable,完成维护后还需要留下什么信息？,false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,True,资料中未明确说明完成维护后需要留下什么信息。,,unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
dense_extract,mxq-013,answerable,完成维护后还需要留下什么信息？,model_omission,answered,0.5,1.0,True,需要记录结果。,unit_0861be8afba46dca2c51,unit_0163e2051a2ebd5d095e|unit_2bd1304003c7f0dfea98|unit_766c48cf1448479c2315|unit_4912a65c603f231bd224|unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-014,answerable,温控允许的最高数值是多少？,model_omission,answered,0.5,1.0,True,75℃,unit_088a259df618945202b2,unit_088a259df618945202b2,,Context覆盖事实，但最终答案遗漏Required Fact。
dense_extract,mxq-014,answerable,温控允许的最高数值是多少？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定温控允许的最高数值，因为证据中未提供相关信息。,,unit_5ea191c13e5954131884|unit_088a259df618945202b2|unit_5a011d6f4cc5f7bf21e8|unit_ea417ff8aa45e3b8d3ea|unit_0cadd16eefbcfde43d0b,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
baseline_dense,mxq-015,answerable,感知元件掉线后怎样恢复？,model_omission,answered,0.3333333333333333,1.0,True,感知元件掉线后，应检查连接以恢复。,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678,unit_2bc981741b7b9f68f243|unit_931b71f8106f5858e816|unit_4912a65c603f231bd224|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_packet,mxq-015,answerable,感知元件掉线后怎样恢复？,false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,True,资料中未提及‘感知元件掉线’的处理方法，无法确定其恢复方式。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_extract,mxq-015,answerable,感知元件掉线后怎样恢复？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,证据中未提及感知元件掉线后的恢复方法。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-015,answerable,感知元件掉线后怎样恢复？,model_omission,answered,0.3333333333333333,1.0,True,检查连接,unit_931b71f8106f5858e816,unit_2bc981741b7b9f68f243|unit_931b71f8106f5858e816|unit_4912a65c603f231bd224|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。
baseline_dense,mxq-016,answerable,供电异常时怎样让设备恢复？,model_omission,answered,0.6666666666666666,1.0,True,当出现供电异常时，应执行断电复位操作来让设备恢复。,unit_94850904cf039fcc1678,unit_2bc981741b7b9f68f243|unit_94850904cf039fcc1678|unit_4912a65c603f231bd224|unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_packet,mxq-016,answerable,供电异常时怎样让设备恢复？,model_omission,answered,0.6666666666666666,1.0,True,当出现电源异常时，应断电复位来让设备恢复。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-016,answerable,供电异常时怎样让设备恢复？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及供电异常时的恢复方法，仅提到'断电复位'，无法确定其是否适用于供电异常场景。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-016,answerable,供电异常时怎样让设备恢复？,model_omission,answered,0.3333333333333333,1.0,True,当出现供电异常时，应执行断电复位操作来让设备恢复。,unit_94850904cf039fcc1678,unit_2bc981741b7b9f68f243|unit_94850904cf039fcc1678|unit_4912a65c603f231bd224|unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-017,answerable,维护时应该先重启还是先切断电源？,model_omission,answered,0.3333333333333333,1.0,True,维护时应该先切断电源，再进行重启。,unit_0861be8afba46dca2c51,unit_0861be8afba46dca2c51,,Context覆盖事实，但最终答案遗漏Required Fact。
dense_extract,mxq-017,answerable,维护时应该先重启还是先切断电源？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.6666666666666666,0.0,False,证据中未明确说明维护时应先重启还是先切断电源，仅提到'断电'和'重启并记录结果'，无法判断顺序。,,unit_2bc981741b7b9f68f243|unit_0163e2051a2ebd5d095e|unit_4912a65c603f231bd224|unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_packet,mxq-018,answerable,E02和E07中哪个代表传感器离线？,model_omission,answered,0.5,1.0,True,E02代表传感器离线。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。
dense_packet,mxq-018,answerable,E02和E07中哪个代表传感器离线？,model_omission,answered,0.5,1.0,True,E02代表传感器离线。,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-018,answerable,E02和E07中哪个代表传感器离线？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.75,0.0,False,证据中仅提到E02代表传感器离线，未提及E07的相关信息，无法判断E07是否代表传感器离线。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-018,answerable,E02和E07中哪个代表传感器离线？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.75,0.0,False,证据中仅提到E02代表传感器离线，未提及E07的相关信息，无法判断E07是否代表传感器离线。,,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
baseline_dense,mxq-019,answerable,E03故障是否应该检查散热？,false_refusal|citation_error,insufficient_evidence,1.0,0.0,True,资料中未提及E03故障需要检查散热，E03对应的现象是电源异常，应进行断电复位，而非检查散热。,,unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678|unit_931b71f8106f5858e816,,Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_packet,mxq-019,answerable,E03故障是否应该检查散热？,false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,True,资料中未明确说明E03故障是否需要检查散热。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
dense_packet,mxq-019,answerable,E03故障是否应该检查散热？,false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,True,资料中未提及E03故障需要检查散热，无法确认是否应检查散热。,,unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678|unit_931b71f8106f5858e816,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_extract,mxq-019,answerable,E03故障是否应该检查散热？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,无法确定E03故障是否需要检查散热，证据中未提及散热相关的信息。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-019,answerable,E03故障是否应该检查散热？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,无法判断E03故障是否应该检查散热，证据中未提供相关信息。,,unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678|unit_931b71f8106f5858e816,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_packet,mxq-020,answerable,查找维护步骤应该进入哪个章节？,false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,True,无法确定维护步骤应进入的具体章节，context 中未提供维护步骤的详细内容或章节划分。,,unit_0163e2051a2ebd5d095e,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_extract,mxq-020,answerable,查找维护步骤应该进入哪个章节？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,证据中未提及维护步骤应进入哪个章节。,,unit_0163e2051a2ebd5d095e,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-020,answerable,查找维护步骤应该进入哪个章节？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.0,0.0,False,无法确定维护步骤应进入哪个章节。,,unit_0163e2051a2ebd5d095e|unit_2bd1304003c7f0dfea98|unit_766c48cf1448479c2315|unit_0861be8afba46dca2c51|unit_12f442be965b3ab2a53c,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-021,unanswerable,MX-100的额定输入电压是多少？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100的额定输入电压，证据中未提供相关信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-021,unanswerable,MX-100的额定输入电压是多少？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100的额定输入电压，证据中未提供相关信息。,,unit_bf63107d404eac25b0fa|unit_b85a502fbfddf27ee43b|unit_9bb8855a2a4f363809a2|unit_12f442be965b3ab2a53c|unit_427bb9da85d5c2c78e94,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-022,unanswerable,MX-100支持蓝牙连接吗？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100是否支持蓝牙连接，证据中未提供相关信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-022,unanswerable,MX-100支持蓝牙连接吗？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100是否支持蓝牙连接，证据中未提供相关信息。,,unit_b85a502fbfddf27ee43b|unit_bf63107d404eac25b0fa|unit_12f442be965b3ab2a53c|unit_9bb8855a2a4f363809a2|unit_d2026ce4866fbfe12c00,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-023,unanswerable,E09故障代码应该怎么处理？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法回答，证据中未提供关于E09故障代码的任何信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-023,unanswerable,E09故障代码应该怎么处理？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法回答，证据中未提供关于E09故障代码的任何信息。,,unit_94850904cf039fcc1678|unit_931b71f8106f5858e816|unit_5ea191c13e5954131884|unit_12dd3556798a53065a50|unit_d2ea24bd55aa60e58786,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-024,unanswerable,MX-100的保修期是多久？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100的保修期，证据中未提供相关信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-024,unanswerable,MX-100的保修期是多久？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100的保修期，证据中未提供相关信息。,,unit_b85a502fbfddf27ee43b|unit_bf63107d404eac25b0fa|unit_12f442be965b3ab2a53c|unit_9bb8855a2a4f363809a2|unit_d2026ce4866fbfe12c00,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-025,unanswerable,MX-100允许的湿度上限是多少？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100允许的湿度上限，证据中未提供相关信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-025,unanswerable,MX-100允许的湿度上限是多少？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100允许的湿度上限，证据中未提供相关信息。,,unit_b85a502fbfddf27ee43b|unit_bf63107d404eac25b0fa|unit_427bb9da85d5c2c78e94|unit_12f442be965b3ab2a53c|unit_9bb8855a2a4f363809a2,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-026,unanswerable,维护完成后是否需要上传云端？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定维护完成后是否需要上传云端。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-026,unanswerable,维护完成后是否需要上传云端？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定维护完成后是否需要上传云端。,,unit_0163e2051a2ebd5d095e|unit_1d7396a1c70ac608332a|unit_0861be8afba46dca2c51|unit_766c48cf1448479c2315|unit_bf63107d404eac25b0fa,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-027,unanswerable,设备菜单中如何进入网络设置？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定设备菜单中如何进入网络设置，因为没有相关证据支持。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-027,unanswerable,设备菜单中如何进入网络设置？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定设备菜单中如何进入网络设置，因为没有相关证据支持。,,unit_0163e2051a2ebd5d095e|unit_4912a65c603f231bd224|unit_2bc981741b7b9f68f243|unit_0861be8afba46dca2c51|unit_2bd1304003c7f0dfea98,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-028,unanswerable,E02需要更换哪个零件？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定E02需要更换哪个零件，证据中未提供相关信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-028,unanswerable,E02需要更换哪个零件？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定E02需要更换哪个零件，证据中未提供相关信息。,,unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f|unit_d2ea24bd55aa60e58786|unit_088a259df618945202b2,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-029,unanswerable,MX-100的额定功耗是多少瓦？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100的额定功耗，证据中未提供相关信息。,,,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-029,unanswerable,MX-100的额定功耗是多少瓦？,schema_error|citation_error,insufficient_evidence,1.0,1.0,False,无法确定MX-100的额定功耗，证据中未提供相关信息。,,unit_b85a502fbfddf27ee43b|unit_bf63107d404eac25b0fa|unit_12f442be965b3ab2a53c|unit_9bb8855a2a4f363809a2|unit_4f021d52061a98f6ac53,,引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
