query_id,condition,query,question_type,four_b_answer_correct,nine_b_answer_correct,four_b_status,nine_b_status,four_b_required_fact_recall,nine_b_required_fact_recall,four_b_citation_valid,nine_b_citation_valid,four_b_citation_coverage,nine_b_citation_coverage,four_b_unsupported_claim,nine_b_unsupported_claim,change,four_b_error_nine_b_correct,both_error,new_hallucination,new_citation_error,four_b_answer,nine_b_answer,four_b_citations,nine_b_citations
mxq-001,oracle_packet_9b,MX-100的温度上限是多少？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,MX-100的温度上限是75℃,MX-100 的温度上限是 75℃。,unit_427bb9da85d5c2c78e94,unit_427bb9da85d5c2c78e94
mxq-001,dense_packet_9b,MX-100的温度上限是多少？,answerable,False,True,,answered,0.0,1.0,False,True,0.0,1.0,False,False,improved,True,False,False,False,,MX-100 的温度上限是 75℃。,,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_4f021d52061a98f6ac53|unit_d2026ce4866fbfe12c00
mxq-002,oracle_packet_9b,故障代码E07表示什么，应该怎么处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,故障代码E07表示温度过高，应停止设备并检查散热。,故障代码E07表示温度过高，处理方法是停止设备并检查散热。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-002,dense_packet_9b,故障代码E07表示什么，应该怎么处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,故障代码E07表示温度过高，应停止设备并检查散热。,故障代码E07表示温度过高，处理方法是停止设备并检查散热。,unit_5ea191c13e5954131884|unit_088a259df618945202b2|unit_4e6240ee45aff210b43d|unit_94850904cf039fcc1678,unit_5ea191c13e5954131884|unit_4e6240ee45aff210b43d|unit_94850904cf039fcc1678
mxq-003,oracle_packet_9b,E02故障应该如何处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,检查连接,E02故障现象为传感器离线，处理方法是检查连接。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-003,dense_packet_9b,E02故障应该如何处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,E02故障的处理方法是检查连接。,E02故障的现象是传感器离线，处理方法是检查连接。,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d
mxq-004,oracle_packet_9b,E03故障应该如何处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,E03故障的处理方法是断电复位。,E03故障的处理方法是断电复位。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-004,dense_packet_9b,E03故障应该如何处理？,answerable,False,False,insufficient_evidence,insufficient_evidence,0.3333333333333333,0.3333333333333333,True,True,0.0,0.0,False,False,unchanged,False,True,False,False,资料中未明确提及E03故障的处理方法。,提供的资料中未包含故障代码 E03 的现象及处理方法。资料中仅包含 E02、E07 和 E03 的代码列表，但 E03 对应的具体处理步骤未在上下文中明确给出。,,
mxq-005,oracle_packet_9b,MX-100当前文档版本是什么？,answerable,True,True,answered,answered,1.0,1.0,False,True,0.0,1.0,False,False,unchanged,False,False,False,False,MX-100当前文档版本是v1.2,MX-100 当前文档版本是 v1.2,unit_03db816ac89ed1434056,unit_03db816ac89ed1434516
mxq-005,dense_packet_9b,MX-100当前文档版本是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,True,False,unchanged,False,False,False,False,MX-100当前文档版本是v1.2。,MX-100 当前文档版本是 v1.2,unit_d2026ce4866fbfe12c00,unit_12f442be965b3ab2a53c|unit_b85a502fbfddf27ee43b|unit_bf63107d404eac25b0fa|unit_d2026ce4866fbfe12c00
mxq-006,oracle_packet_9b,设备资料记录的日期是什么？,answerable,True,True,answered,answered,1.0,1.0,False,True,0.0,1.0,False,True,unchanged,False,False,True,False,设备资料记录的日期是2026-07-11,2026-07-11,unit_03db816ac89ed14348516,unit_03db816ac89ed1434516
mxq-006,dense_packet_9b,设备资料记录的日期是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,True,True,unchanged,False,False,False,False,设备资料记录的日期是2026-07-11。,设备资料记录的日期是 2026-07-11。,unit_4912a65c603f231bd224|unit_5a011d6f4cc5f7bf21e8,unit_766c48cf1448479c2315|unit_5a011d6f4cc5f7bf21e8
mxq-007,oracle_packet_9b,维护步骤所在章节的名称是什么？,answerable,True,True,answered,answered,1.0,1.0,False,True,0.0,1.0,True,True,unchanged,False,False,False,False,维护流程,维护步骤所在章节的名称是“维护流程”。,unit_0163e2051a2ebdd5d095e,unit_0163e2051a2ebd5d095e
mxq-007,dense_packet_9b,维护步骤所在章节的名称是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,维护流程,维护步骤所在章节的名称是“维护流程”。,unit_0163e2051a2ebd5d095e,unit_0163e2051a2ebd5d095e
mxq-008,oracle_packet_9b,安全参数章节叫什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,安全参数章节叫安全参数。,安全参数章节叫“安全参数”。,unit_4102e7b75c61bddf397f,unit_4102e7b75c61bddf397f
mxq-008,dense_packet_9b,安全参数章节叫什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,安全参数章节的标题是‘安全参数’。,安全参数章节的标题是“安全参数”。,unit_4102e7b75c61bddf397f,unit_4102e7b75c61bddf397f
mxq-009,oracle_packet_9b,机器热到安全极限时还能继续运行吗？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,机器在温度达到75℃时会立即停机，因此不能继续运行。,当机器温度达到75℃（安全极限）时，必须立即停机，不能继续运行。,unit_0cadd16eefbcfde43d0b,unit_0cadd16eefbcfde43d0b
mxq-009,dense_packet_9b,机器热到安全极限时还能继续运行吗？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,True,False,unchanged,False,False,False,False,不能，机器在温度达到75℃时会立即停机，以确保安全。,不能。当温度达到安全极限（75℃）时，机器应立即停机。,unit_0cadd16eefbcfde43d0b|unit_5a011d6f4cc5f7bf21e8|unit_5ea191c13e5954131884|unit_52f7d2948d68aee317d1,unit_0cadd16eefbcfde43d0b|unit_5a011d6f4cc5f7bf21e8|unit_5ea191c13e5954131884|unit_52f7d2948d68aee317d1|unit_4e6240ee45aff210b43d
mxq-010,oracle_packet_9b,设备发出高温告警后应该排查哪个部位？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,设备发出高温告警后应该排查散热部位。,设备发出高温告警（代码 E07）后，应停止设备并检查散热部位。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-010,dense_packet_9b,设备发出高温告警后应该排查哪个部位？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,True,False,unchanged,False,False,False,False,设备发出高温告警后应该排查散热部位。,设备发出高温告警（代码 E07）后，应排查散热部位。,unit_94850904cf039fcc1678|unit_4e6240ee45aff210b43d,unit_94850904cf039fcc1678|unit_4e6240ee45aff210b43d|unit_d2ea24bd55aa60e58786
mxq-011,oracle_packet_9b,开始保养设备前第一项动作是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,开始保养设备前第一项动作是断电。,开始保养设备前的第一项动作是断电。,unit_0861be8afba46dca2c51,unit_0861be8afba46dca2c51
mxq-011,dense_packet_9b,开始保养设备前第一项动作是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,开始保养设备前第一项动作是断电。,开始保养设备前的第一项动作是断电。,unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a,unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a
mxq-012,oracle_packet_9b,把滤网处理干净以后下一步做什么？,answerable,False,False,answered,answered,0.5,0.5,True,True,1.0,1.0,False,True,unchanged,False,True,True,False,重启并记录结果。,把滤网处理干净以后，下一步是重启并记录结果。,unit_0861be8afba46dca2c51,unit_0861be8afba46dca2c51
mxq-012,dense_packet_9b,把滤网处理干净以后下一步做什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,重启并记录结果,清洁滤网后的下一步是重启并记录结果。,unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a|unit_5a011d6f4cc5f7bf21e8,unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a|unit_5a011d6f4cc5f7bf21e8
mxq-013,oracle_packet_9b,完成维护后还需要留下什么信息？,answerable,False,True,insufficient_evidence,answered,0.0,1.0,True,True,0.0,1.0,False,True,improved,True,False,True,False,资料中未明确说明完成维护后需要留下什么信息。,完成维护后需要记录结果。,,unit_0861be8afba46dca2c51
mxq-013,dense_packet_9b,完成维护后还需要留下什么信息？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,完成维护后需要记录重启的结果。,完成维护后需要记录结果。,unit_0861be8afba46dca2c51,unit_0861be8afba46dca2c51|unit_4912a65c603f231bd224
mxq-014,oracle_packet_9b,温控允许的最高数值是多少？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,温控允许的最高数值是75℃。,75℃,unit_088a259df618945202b2,unit_088a259df618945202b2
mxq-014,dense_packet_9b,温控允许的最高数值是多少？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,温控允许的最高数值是75℃。,温控允许的最高数值是 75℃。,unit_5ea191c13e5954131884|unit_088a259df618945202b2|unit_5a011d6f4cc5f7bf21e8|unit_ea417ff8aa45e3b8d3ea,unit_5ea191c13e5954131884|unit_088a259df618945202b2|unit_5a011d6f4cc5f7bf21e8|unit_ea417ff8aa45e3b8d3ea
mxq-015,oracle_packet_9b,感知元件掉线后怎样恢复？,answerable,False,True,insufficient_evidence,answered,0.0,1.0,True,True,0.0,1.0,False,False,improved,True,False,False,False,资料中未提及‘感知元件掉线’的处理方法，无法确定其恢复方式。,当感知元件掉线（传感器离线）时，应检查连接。,,unit_94850904cf039fcc1678
mxq-015,dense_packet_9b,感知元件掉线后怎样恢复？,answerable,True,False,answered,answered,1.0,0.6666666666666666,True,True,1.0,1.0,True,False,declined,False,False,False,False,感知元件掉线后，应检查连接。这是针对传感器离线现象的标准处理方法。,当感知元件掉线（现象为传感器离线）时，应检查连接。,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786|unit_94850904cf039fcc1678
mxq-016,oracle_packet_9b,供电异常时怎样让设备恢复？,answerable,False,True,answered,answered,0.6666666666666666,1.0,True,True,1.0,1.0,False,True,improved,True,False,True,False,当出现电源异常时，应断电复位来让设备恢复。,当供电异常时，应进行断电复位。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-016,dense_packet_9b,供电异常时怎样让设备恢复？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,0.0,True,True,unchanged,False,False,False,False,当设备出现电源异常（代码E03）时，应执行断电复位操作以恢复设备。,当供电异常时，应执行断电复位操作。,unit_94850904cf039fcc1678|unit_4912a65c603f231bd224,unit_0163e2051a2ebd5d095e|unit_2bc981741b7b9f68f243|unit_0861be8afba46dca2c51
mxq-017,oracle_packet_9b,维护时应该先重启还是先切断电源？,answerable,True,False,answered,answered,1.0,0.6666666666666666,True,True,1.0,1.0,False,True,declined,False,False,True,False,维护时应该先切断电源，再进行清洁滤网，最后重启并记录结果。,维护时应先切断电源，再清洁滤网，最后重启。,unit_0861be8afba46dca2c51,unit_0861be8afba46dca2c51
mxq-017,dense_packet_9b,维护时应该先重启还是先切断电源？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,维护时应该先切断电源，再重启。,维护时应先切断电源，然后再重启。,unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a,unit_2bc981741b7b9f68f243|unit_4912a65c603f231bd224|unit_0861be8afba46dca2c51|unit_1d7396a1c70ac608332a
mxq-018,oracle_packet_9b,E02和E07中哪个代表传感器离线？,answerable,False,False,answered,answered,0.5,0.5,True,True,1.0,1.0,True,True,unchanged,False,True,False,False,E02代表传感器离线。,E02 代表传感器离线。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-018,dense_packet_9b,E02和E07中哪个代表传感器离线？,answerable,False,True,answered,answered,0.5,1.0,True,True,1.0,1.0,True,False,improved,True,False,False,False,E02代表传感器离线。,E02 代表传感器离线。,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786,unit_931b71f8106f5858e816|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d|unit_94850904cf039fcc1678
mxq-019,oracle_packet_9b,E03故障是否应该检查散热？,answerable,False,False,insufficient_evidence,insufficient_evidence,0.3333333333333333,0.3333333333333333,True,True,0.0,0.0,False,False,unchanged,False,True,False,False,资料中未明确说明E03故障是否需要检查散热。,资料中未明确说明E03故障是否应该检查散热。,,
mxq-019,dense_packet_9b,E03故障是否应该检查散热？,answerable,False,False,insufficient_evidence,insufficient_evidence,0.3333333333333333,1.0,True,True,0.0,0.0,False,False,unchanged,False,True,False,False,资料中未提及E03故障需要检查散热，无法确认是否应检查散热。,资料中未提及E03故障应检查散热，E03对应现象为电源异常，处理为断电复位。,,
mxq-020,oracle_packet_9b,查找维护步骤应该进入哪个章节？,answerable,False,True,insufficient_evidence,answered,0.0,1.0,True,True,0.0,1.0,False,True,improved,True,False,True,False,无法确定维护步骤应进入的具体章节，context 中未提供维护步骤的详细内容或章节划分。,维护步骤应该进入“维护流程”章节。,,unit_0163e2051a2ebd5d095e
mxq-020,dense_packet_9b,查找维护步骤应该进入哪个章节？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,"维护步骤应进入标题为""维护流程""的章节。",维护步骤位于“维护流程”章节。,unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51,unit_0163e2051a2ebd5d095e|unit_0861be8afba46dca2c51
mxq-021,oracle_packet_9b,MX-100的额定输入电压是多少？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及MX-100的额定输入电压。,资料不足，无法回答MX-100的额定输入电压。,,
mxq-021,dense_packet_9b,MX-100的额定输入电压是多少？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及 MX-100 的额定输入电压。,提供的资料中未包含 MX-100 设备的额定输入电压信息。,,
mxq-022,oracle_packet_9b,MX-100支持蓝牙连接吗？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及MX-100是否支持蓝牙连接。,提供的资料中不包含关于MX-100是否支持蓝牙连接的信息。,,
mxq-022,dense_packet_9b,MX-100支持蓝牙连接吗？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,提供的资料中未提及MX-100是否支持蓝牙连接。,资料中未提及 MX-100 是否支持蓝牙连接,,
mxq-023,oracle_packet_9b,E09故障代码应该怎么处理？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及E09故障代码的相关信息，无法提供处理方法。,资料不足，无法回答E09故障代码的处理方法。,,
mxq-023,dense_packet_9b,E09故障代码应该怎么处理？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及E09故障代码的处理方法。,提供的资料中未包含故障代码 E09 的相关信息，无法回答如何处理。,,
mxq-024,oracle_packet_9b,MX-100的保修期是多久？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及MX-100的保修期信息。,资料不足，无法回答MX-100的保修期。,,
mxq-024,dense_packet_9b,MX-100的保修期是多久？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,提供的资料中未提及MX-100的保修期信息。,提供的资料中未包含关于 MX-100 保修期的信息。,,
mxq-025,oracle_packet_9b,MX-100允许的湿度上限是多少？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及MX-100允许的湿度上限。,资料不足，无法回答MX-100允许的湿度上限。,,
mxq-025,dense_packet_9b,MX-100允许的湿度上限是多少？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及 MX-100 允许的湿度上限。,提供的资料中未包含MX-100设备允许的湿度上限信息。,,
mxq-026,oracle_packet_9b,维护完成后是否需要上传云端？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及维护完成后是否需要上传云端的信息。,资料不足，无法回答维护完成后是否需要上传云端。,,
mxq-026,dense_packet_9b,维护完成后是否需要上传云端？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及维护完成后是否需要上传云端。,提供的资料中未提及维护完成后是否需要上传云端。,,
mxq-027,oracle_packet_9b,设备菜单中如何进入网络设置？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及如何进入设备菜单中的网络设置。,资料不足，无法回答如何进入网络设置。,,
mxq-027,dense_packet_9b,设备菜单中如何进入网络设置？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及如何通过设备菜单进入网络设置。,资料中未提供关于如何进入网络设置的信息。,,
mxq-028,oracle_packet_9b,E02需要更换哪个零件？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及E02错误代码或需要更换的零件,资料不足，无法回答。,,
mxq-028,dense_packet_9b,E02需要更换哪个零件？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及E02需要更换哪个零件，仅说明现象为传感器离线，处理措施为检查连接。,资料中未提及 E02 故障需要更换哪个零件，仅说明需检查连接。,,
mxq-029,oracle_packet_9b,MX-100的额定功耗是多少瓦？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及MX-100的额定功耗。,资料不足，无法回答MX-100的额定功耗。,,
mxq-029,dense_packet_9b,MX-100的额定功耗是多少瓦？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,提供的资料中未提及MX-100的额定功耗。,提供的资料中未包含MX-100的额定功耗信息。,,
mxq-030,oracle_packet_9b,设备的保修联系人是谁？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及设备的保修联系人信息。,资料中未提供设备的保修联系人信息。,,
mxq-030,dense_packet_9b,设备的保修联系人是谁？,unanswerable,True,True,insufficient_evidence,insufficient_evidence,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,资料中未提及设备的保修联系人信息。,资料中未提及设备的保修联系人信息。,,
